position;company;comp_link;sal_from;sal_to;sal_curr;sal_tax
QA Automation (Python|Kotlin);ПАО МегаФон, IT;https://hh.ru/employer/3127?dpt=mgfn-3127-it&hhtmFrom=vacancy_search_list;;;;
Python-разработчик / ML-инженер;КРОК;https://hh.ru/employer/2987?hhtmFrom=vacancy_search_list;;;;
DevOps-инженер/Python разработчик;Сбер для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof&hhtmFrom=vacancy_search_list;0;250000;₽;до вычета налогов
Python разработчик (DS Core);Домклик;https://hh.ru/employer/2136954?hhtmFrom=vacancy_search_list;;;;
Системный программист / разработчик Python;Carbon Soft;https://hh.ru/employer/1204987?hhtmFrom=vacancy_search_list;200000;350000;₽;на руки
Senior/Middle+ Python Developer;ООО ГК Иннотех | Интеграция Консалтинг;https://hh.ru/employer/4649269?dpt=4649269-4649269-intkons&hhtmFrom=vacancy_search_list;;;;
Программист/ Python developer (удаленно);IT-People.ru;https://hh.ru/employer/834446?hhtmFrom=vacancy_search_list;2200;3300;€;на руки
Python-разработчик (middle/ senior);ООО АФЛТ-Системс;https://hh.ru/employer/9450859?hhtmFrom=vacancy_search_list;;;;
Администратор PostgreSQL;ПАО «Промсвязьбанк», ИТ;https://hh.ru/employer/6591?dpt=6591-6591-it&hhtmFrom=vacancy_search_list;;;;
DevOps-инженер;ПАО «Промсвязьбанк», ИТ;https://hh.ru/employer/6591?dpt=6591-6591-it&hhtmFrom=vacancy_search_list;;;;
Старший разработчик Python (команда платформы экспериментов);Okko;https://hh.ru/employer/1375441?hhtmFrom=vacancy_search_list;;;;
Разработчик Python (Middle);ООО КВАНТ ПРОГРАММ;https://hh.ru/employer/3669999?hhtmFrom=vacancy_search_list;;;;
Ведущий разработчик Python (Team Lead);МФТИ;https://hh.ru/employer/1008541?hhtmFrom=vacancy_search_list;300000;400000;₽;на руки
Разработчик Odoo (Python);ООО МосТрансАренда;https://hh.ru/employer/2753595?hhtmFrom=vacancy_search_list;80000;150000;₽;до вычета налогов
Middle QA Automation Engineer (Python);ООО GlowByte;https://hh.ru/employer/64474?hhtmFrom=vacancy_search_list;;;;
Python Backend Developer;MediaNation;https://hh.ru/employer/584898?hhtmFrom=vacancy_search_list;;;;
Senior Backend Python Developer (Team Lead);Evvve;https://hh.ru/employer/5529775?hhtmFrom=vacancy_search_list;;;;
Middle backend Python;ООО РА Дельта;https://hh.ru/employer/4747821?hhtmFrom=vacancy_search_list;;;;
Бэкенд-разработчик (Middle Backend Developer, Python);Simetra;https://hh.ru/employer/928274?hhtmFrom=vacancy_search_list;;;;
Тимлид (лидер команды разработки, python, react);MindSet;https://hh.ru/employer/3666817?hhtmFrom=vacancy_search_list;;;;
QA automation engineer (Selenium + Python);ООО Ритм;https://hh.ru/employer/4576177?hhtmFrom=vacancy_search_list;;;;
Senior / Middle+ QA Automation (python) specialist;КИБЕР-РОМ;https://hh.ru/employer/5599143?hhtmFrom=vacancy_search_list;;;;
Senior Python разработчик (Эксперт в телефонии);VOXYS;https://hh.ru/employer/798923?hhtmFrom=vacancy_search_list;;;;
Python Backend Developer (Middle);ООО Вычислительные решения;https://hh.ru/employer/3757107?hhtmFrom=vacancy_search_list;;;;
Старший инженер программист Python;ГК «ХайТэк»;https://hh.ru/employer/2262181?hhtmFrom=vacancy_search_list;;;;
Python-разработчик систем сбора;ООО Селфсек;https://hh.ru/employer/4920624?hhtmFrom=vacancy_search_list;100000;150000;₽;на руки
Back-end разработчик middle+ (python, Django);Reshape Analytics;https://hh.ru/employer/4947835?hhtmFrom=vacancy_search_list;;;;
Middle Backend программист Python / Middle Python Backend Developer;Радиум;https://hh.ru/employer/3242593?hhtmFrom=vacancy_search_list;100000;200000;₽;до вычета налогов
Ведущий программист Python;АО НефтеТрансСервис. IT/Digital;https://hh.ru/employer/132654?dpt=132654-132654-it&hhtmFrom=vacancy_search_list;;;;
Python разработчик (удалённо);Группа компаний МЕДСИ;https://hh.ru/employer/106571?hhtmFrom=vacancy_search_list;200000;280000;₽;на руки
Senior Python Developer for Crypto Analytics and Blockchain + Social Webs Data Processing;CatHouse (Ворошилов Андрей);https://hh.ru/employer/6027292?hhtmFrom=vacancy_search_list;0;5000;$;до вычета налогов
Разработчик (Python, AI);ООО Major Terminal;https://hh.ru/employer/2644166?hhtmFrom=vacancy_search_list;130000;0;₽;на руки
Разработчик на Python;Национальный исследовательский университет Высшая школа экономики;https://hh.ru/employer/80981?hhtmFrom=vacancy_search_list;0;200000;₽;до вычета налогов
Python Team Lead;Hi, Rockits!;https://hh.ru/employer/1111058?hhtmFrom=vacancy_search_list;;;;
Fulltack разработчик С++/Qt/Python/Go (Middle);ООО КВАНТ ПРОГРАММ;https://hh.ru/employer/3669999?hhtmFrom=vacancy_search_list;;;;
Python-разработчик (Middle);SL Soft;https://hh.ru/employer/10610846?hhtmFrom=vacancy_search_list;;;;
Senior Python разработчик;Human Capital;https://hh.ru/employer/23596?hhtmFrom=vacancy_search_list;;;;
Python Tech Lead;ООО ГК Иннотех | Мультипродакт;https://hh.ru/employer/4649269?dpt=4649269-4649269-multipro&hhtmFrom=vacancy_search_list;;;;
Lead Python developer;Heaad;https://hh.ru/employer/5531122?hhtmFrom=vacancy_search_list;370000;740000;₽;на руки
Middle+ Python Developer;ООО Смартекс;https://hh.ru/employer/2416909?hhtmFrom=vacancy_search_list;250000;300000;₽;на руки
Python Developer;ООО ЦИФРА;https://hh.ru/employer/3191643?hhtmFrom=vacancy_search_list;0;300000;₽;на руки
Разработчик Python;Электронная торговая площадка Газпромбанка;https://hh.ru/employer/1111946?hhtmFrom=vacancy_search_list;;;;
Младший специалист отдела разработки (Python) / Специалист по парсингу данных;MillionAgents;https://hh.ru/employer/863273?hhtmFrom=vacancy_search_list;0;80000;₽;на руки
Python разработчик;ООО СалютДевайсы;https://hh.ru/employer/4659934?hhtmFrom=vacancy_search_list;;;;
Python Developer;Сбер для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof&hhtmFrom=vacancy_search_list;;;;
Разработчик Python;Инрэко ЛАН;https://hh.ru/employer/113313?hhtmFrom=vacancy_search_list;;;;
Senior Backend Developer (Python);ООО Звук;https://hh.ru/employer/1829949?hhtmFrom=vacancy_search_list;;;;
Инженер QA (python);Сбер для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof&hhtmFrom=vacancy_search_list;;;;
Data Engineer (Python);ООО Axenix (ранее Accenture);https://hh.ru/employer/4080?hhtmFrom=vacancy_search_list;;;;
Ведущий разработчик Python;ЗАО 1С;https://hh.ru/employer/882?hhtmFrom=vacancy_search_list;;;;
Python разработчик;Лига Цифровой Экономики;https://hh.ru/employer/2733062?hhtmFrom=vacancy_search_list;;;;
QA Engineer full stack (Python/Java);EGAR TECHNOLOGY, INC.;https://hh.ru/employer/4917?hhtmFrom=vacancy_search_list;;;;
Middle Python Developer;Study Step by Step;https://hh.ru/employer/9549892?hhtmFrom=vacancy_search_list;200000;250000;₽;на руки
Python разработчик;Ростелеком - Центры обработки данных;https://hh.ru/employer/852361?hhtmFrom=vacancy_search_list;;;;
Разработчик Python;ООО Дивергент;https://hh.ru/employer/8997092?hhtmFrom=vacancy_search_list;0;300000;₽;на руки
Team Lead Backend Python Developer(АТОМ.ПОИСК);АО Гринатом. Машинное обучение и искусственный интеллект;https://hh.ru/employer/665467?dpt=665467-665467-mashina&hhtmFrom=vacancy_search_list;;;;
Python developer;ООО Умскул;https://hh.ru/employer/4557535?hhtmFrom=vacancy_search_list;;;;
QA Automation (Python) [МТС Premium];ПАО «МТС», Digital;https://hh.ru/employer/3776?dpt=mts-3776-it&hhtmFrom=vacancy_search_list;;;;
Разработчик Python/Spark;ООО ГК Иннотех | Большие данные;https://hh.ru/employer/4649269?dpt=4649269-4649269-bigdata&hhtmFrom=vacancy_search_list;;;;
Python backend developer;KD-systems;https://hh.ru/employer/4926973?hhtmFrom=vacancy_search_list;;;;
Middle Python Developer;АО Гринатом. Центр Разработки.;https://hh.ru/employer/665467?dpt=665467-665467-cntraz&hhtmFrom=vacancy_search_list;;;;
Ведущий разработчик Python;ООО ДиСиЛоджик;https://hh.ru/employer/2477476?hhtmFrom=vacancy_search_list;250000;0;₽;на руки
Python Backend developer / Python разработчик (Middle+);ООО ГК Иннотех | Интеграция Консалтинг;https://hh.ru/employer/4649269?dpt=4649269-4649269-intkons&hhtmFrom=vacancy_search_list;;;;
Middle+/Senior Python developer;ИП Хорьков Эдуард Вячеславович;https://hh.ru/employer/2655433?hhtmFrom=vacancy_search_list;240000;260000;₽;на руки
Аналитик данных (SQL, Python);Правительство Москвы;https://hh.ru/employer/895945?hhtmFrom=vacancy_search_list;;;;
Team Lead backend (Python Django);Валта;https://hh.ru/employer/83214?hhtmFrom=vacancy_search_list;250000;380000;₽;до вычета налогов
Python-разработчик (senior+ / lead);Синимекс;https://hh.ru/employer/6944?hhtmFrom=vacancy_search_list;;;;
Python Backend developer;ООО Октопустех;https://hh.ru/employer/10603468?hhtmFrom=vacancy_search_list;0;195000;₽;на руки
Chapter Backend Python Lead;SberAutoTech;https://hh.ru/employer/5267014?hhtmFrom=vacancy_search_list;;;;
Middle/Senior Python-разработчик;ООО Интермобилити;https://hh.ru/employer/3698337?hhtmFrom=vacancy_search_list;;;;
Backend Python разработчик в Рег.облако;Рунити;https://hh.ru/employer/567049?hhtmFrom=vacancy_search_list;;;;
Разработчик на С++ и Python в Справочник;Яндекс;https://hh.ru/employer/1740?dpt=yandex-1740-yandex&hhtmFrom=vacancy_search_list;;;;
QA Automation Engineer (Python);Сбер для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof&hhtmFrom=vacancy_search_list;;;;
Инженер по автоматизации тестирования (Python, back-end), Ozon Fintech;Ozon Fintech;https://hh.ru/employer/2180?dpt=ozonru-2180-fintech&hhtmFrom=vacancy_search_list;;;;
TeamLead (Python, C/C++);EdgeЦентр;https://hh.ru/employer/6113620?hhtmFrom=vacancy_search_list;;;;
TeamLead Python;AGIMA;https://hh.ru/employer/238354?hhtmFrom=vacancy_search_list;;;;
Senior Python/Go-разработчик;ПАО «МТС», Digital;https://hh.ru/employer/3776?dpt=mts-3776-it&hhtmFrom=vacancy_search_list;;;;
Senior Python developer (IP);Positive Technologies;https://hh.ru/employer/26624?hhtmFrom=vacancy_search_list;;;;
Python Lead developer (IP);Positive Technologies;https://hh.ru/employer/26624?hhtmFrom=vacancy_search_list;;;;
Ведущий инженер-программист Python (MIDDLE);ООО Парус электро;https://hh.ru/employer/2730053?hhtmFrom=vacancy_search_list;150000;200000;₽;до вычета налогов
Дата-аналитик (Python) в команде развития CVM;ПАО ВТБ, Средний и малый бизнес;https://hh.ru/employer/4181?dpt=vtb-4181-smbiz&hhtmFrom=vacancy_search_list;;;;
Senior / techlead Python (Залоговая экспертиза);Сбер для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof&hhtmFrom=vacancy_search_list;;;;
Разработчик Python;Институт Географических Информационных Технологий;https://hh.ru/employer/848395?hhtmFrom=vacancy_search_list;200000;0;₽;на руки
Разработчик на Python в команду HD-Maps;SberAutoTech;https://hh.ru/employer/5267014?hhtmFrom=vacancy_search_list;;;;
Python Developer;ООО БиАйЭй-Технолоджиз;https://hh.ru/employer/2565797?hhtmFrom=vacancy_search_list;;;;
Специалист по автоматизации тестирования Python, Маркетплейс, WebCRM;Ozon Информационные технологии;https://hh.ru/employer/2180?dpt=ozonru-2180-dev&hhtmFrom=vacancy_search_list;;;;
Middle Backend разработчик (Python, Django) / Автоматизация и аналитика корпоративного бизнеса;АО Банк ДОМ.РФ;https://hh.ru/employer/3443?hhtmFrom=vacancy_search_list;200000;0;₽;на руки
Senior Python Backend Developer (MTS AI);ПАО «МТС» ;https://hh.ru/employer/3776?dpt=mts-3776-main&hhtmFrom=vacancy_search_list;;;;
Full-stack Senior Python-developer;ИП Иванова Варвара Васильевна;https://hh.ru/employer/5731610?hhtmFrom=vacancy_search_list;0;300000;₽;на руки
Python Developer (SDET);Positive Technologies;https://hh.ru/employer/26624?hhtmFrom=vacancy_search_list;;;;
Frontend / Full-stack Developer в Мету (Vue, Python);Профи (profi.ru);https://hh.ru/employer/83639?hhtmFrom=vacancy_search_list;150000;0;₽;на руки
Программист Python;МФТИ;https://hh.ru/employer/1008541?hhtmFrom=vacancy_search_list;120000;300000;₽;на руки
Senior Python developer;Spice Agency;https://hh.ru/employer/654435?hhtmFrom=vacancy_search_list;;;;
Специалист по Machine Learning / Data Science (python);ФГУП НИИ Квант;https://hh.ru/employer/566866?hhtmFrom=vacancy_search_list;80000;0;₽;до вычета налогов
Разработчик на Python в Yandex Pay;Яндекс;https://hh.ru/employer/1740?dpt=yandex-1740-yandex&hhtmFrom=vacancy_search_list;;;;
.NET/python developer;ООО Таргет;https://hh.ru/employer/3471971?hhtmFrom=vacancy_search_list;;;;
Python Team Lead / Руководитель backend разработки;GRI;https://hh.ru/employer/5674419?hhtmFrom=vacancy_search_list;;;;
Python Developer;АТОМ;https://hh.ru/employer/5912977?hhtmFrom=vacancy_search_list;;;;
Python developer (remote);ООО Анлимитед Продакшен;https://hh.ru/employer/3087089?hhtmFrom=vacancy_search_list;;;;
Middle Python Developer;ООО Медиа-тел;https://hh.ru/employer/2117997?hhtmFrom=vacancy_search_list;200000;240000;₽;на руки
Senior Python developer (SOC);BI.ZONE Направление Разработка;https://hh.ru/employer/2367681?dpt=2367681-2367681-dev&hhtmFrom=vacancy_search_list;;;;
Тестировщик (Python);IBS;https://hh.ru/employer/139?hhtmFrom=vacancy_search_list;;;;
Python разработчик;ИП Гальченко Тимофей Валерьевич;https://hh.ru/employer/8645270?hhtmFrom=vacancy_search_list;60000;110000;₽;на руки
Backend-разработчик на Python (Ultimate Education);Ultimate Capital;https://hh.ru/employer/5180652?hhtmFrom=vacancy_search_list;;;;
Middle \ Senior разработчик Python Backend;Ostec;https://hh.ru/employer/8045?hhtmFrom=vacancy_search_list;;;;
Python-разработчик;Bell Integrator;https://hh.ru/employer/6189?hhtmFrom=vacancy_search_list;;;;
